city id,city,country,lat,lon,temp_sunset,hum_sunset,cloudiness_sunset,windiness_sunset
1799319,Niuchehe,CN,29.0485,110.975,65.25,73,100,5.53
443187,Karaman Province,TR,37.0833,33.25,23.0,89,65,8.23
8054418,Shangdu,CN,42.25,116.008,25.07,97,34,6.44
151610,Ngorongoro,TZ,-3.2397,35.4875,56.1,100,100,0.87
1054329,Vangaindrano,MG,-23.35,47.6,82.56,82,1,8.5
5974962,Highland Grove,CA,45.0668,-78.0828,24.01,54,95,3.44
96994,Dahuk,IQ,36.8695,42.994,40.75,71,57,1.28
3929520,San Juan de Marcona,PE,-15.3653,-75.1622,71.08,74,38,16.28
1337619,Ugoofaaru,MV,5.6667,73.0,82.31,75,100,9.55
3357114,Grootfontein,NA,-19.5667,18.1167,66.61,86,100,11.05
3854988,Gobernador Costa,AR,-44.0499,-70.598,46.92,57,86,17.22
2029624,Ongon,MN,46.9826,103.7839,8.46,93,35,0.94
7645217,Losap,FM,6.894,152.74,82.22,77,97,18.81
908734,Lyembo,ZM,-14.2333,28.2333,68.13,89,100,1.41
1499385,Manzya,RU,58.4922,96.2617,-14.89,86,99,1.72
146183,Perivólia,CY,34.8292,33.5833,54.03,41,20,14.97
3581511,Orange Walk District,BZ,17.8333,-88.8333,69.42,100,75,3.44
2016443,Skovorodino,RU,53.9833,123.9167,-0.98,87,73,6.46
295629,Ashdod,IL,31.8167,34.65,55.71,51,20,8.05
5927708,Coral Harbour,CA,64.1341,-83.1662,1.4,85,90,4.61
5877543,Wainwright,US,70.6369,-160.0383,-11.79,89,100,15.93
519705,Novaya Derevnya,RU,63.9011,38.0602,-15.38,87,42,6.46
2322552,Takum,NG,7.2667,9.9833,81.32,16,100,2.82
3495684,Oviedo,DO,17.8014,-71.401,76.82,71,7,9.08
3516522,Soto la Marina,MX,23.7667,-98.2167,70.0,74,0,15.01
3674293,Mosquera,CO,2.5086,-78.4511,80.92,75,98,10.13
5983720,Iqaluit,CA,63.7506,-68.5145,-13.0,70,75,3.44
2025197,Dada,RU,49.1678,136.4726,9.12,95,100,6.31
3831682,Dundas,GL,76.55,-68.8,-20.27,73,84,1.92
2013465,Verkhoyansk,RU,67.5447,133.385,-34.55,80,0,0.63
2035189,Sanchahe,CN,44.9631,126.0153,17.73,97,99,9.53
5650429,Eden,US,47.27,-111.2722,38.25,65,75,29.93
2524842,Domus de Maria,IT,38.944,8.8635,59.99,77,0,17.27
3863503,Cafayate,AR,-26.073,-65.9761,69.78,58,81,8.21
1510695,Baykalovsk,RU,70.69,83.62,-32.46,80,21,5.17
2094342,Kavieng,PG,-2.5744,150.7967,83.35,77,30,8.86
1843491,Iksan,KR,35.9439,126.9544,57.74,49,0,13.4
5870308,North Slope,US,69.2506,-152.0006,-13.25,89,100,10.42
2290609,Dabakala,CI,8.3667,-4.4333,90.16,13,10,1.52
71687,Rudum,YE,14.0851,47.7431,73.54,61,16,8.5
6157570,Stony Rapids,CA,59.2603,-105.8351,24.8,86,90,3.44
2068145,Kulpara,AU,-34.0667,138.0333,63.0,67,0,7.0
3986553,San Jerónimo de Juárez,MX,17.1333,-100.4667,75.51,69,100,6.24
3832376,Yacimiento Río Turbio,AR,-51.5732,-72.3508,48.2,61,75,11.5
1265534,Kurāra,IN,25.9833,79.9833,72.55,24,0,4.7
80509,Al Bardīyah,LY,31.7561,25.0865,58.17,63,63,14.03
3437689,Naranjal,PY,-25.9667,-55.1833,89.6,51,20,4.61
3874943,Quellón,CL,-43.1167,-73.6167,53.6,82,75,3.44
211384,Longanio,CD,-2.25,23.3,74.97,73,50,1.92
841412,Yuzhnyy,RU,45.0222,41.0097,28.58,99,90,5.97
1270118,Hesla,IN,24.0667,85.8833,76.33,20,36,6.02
